id;nombre;descripcion;fecha_creacion;fecha_publicacion;fecha_finalizar;fecha_finalizada;calificacion;acceso;contrasenna;estado
1;indexing Aplicaciones Técnico;connecting bandwidth Sorprendente;2021-07-03T17:38:14;2021-07-03T04:43:43;2021-07-03T10:53:18;2021-07-03T16:12:24;96158;PRIVATE;Papelería Baleares;FINISHED
2;Estratega Coordinador;Colegio en;2021-07-03T12:37:49;2021-07-03T08:54:19;2021-07-03T04:13:00;2021-07-02T23:52:44;1280;PRIVATE;Granito;DRAFT
3;withdrawal Hormigon León;Metal;2021-07-03T14:37:42;2021-07-03T03:21:04;2021-07-03T09:45:08;2021-07-02T21:14:27;22993;PRIVATE;Gerente;FINISHED
4;Savings;deposit;2021-07-02T22:01:19;2021-07-03T01:56:17;2021-07-03T12:35:19;2021-07-03T14:31:32;9280;PRIVATE;mano;ACTIVE
5;benchmark;pixel Buckinghamshire;2021-07-03T15:31:24;2021-07-03T02:31:05;2021-07-03T09:20:03;2021-07-03T12:48:23;90241;PUBLIC;back-end Berkshire;ACTIVE
6;Peso Ruble Metal;Verde;2021-07-03T17:55:27;2021-07-03T18:16:20;2021-07-03T02:02:31;2021-07-03T00:25:13;41053;PUBLIC;solución;ACTIVE
7;architectures Bedfordshire;Azul Investment;2021-07-03T02:49:50;2021-07-03T08:20:49;2021-07-03T02:59:20;2021-07-02T21:32:44;65040;PRIVATE;Salud Subida RAM;DRAFT
8;Cambridgeshire;RSS engineer Inteligente;2021-07-03T21:06:14;2021-07-03T03:29:28;2021-07-03T15:40:04;2021-07-03T10:37:13;7791;PRIVATE;compressing;DELETED
9;Inteligente;En PCI;2021-07-03T02:13:44;2021-07-03T14:24:22;2021-07-03T04:42:34;2021-07-03T06:38:10;88262;PUBLIC;orchestrate Marroquinería;DRAFT
10;backing Cambridgeshire;País;2021-07-03T15:48:09;2021-07-03T15:28:39;2021-07-03T14:15:01;2021-07-03T18:09:38;86971;PUBLIC;Centralizado Asturias;DRAFT
